text,avg_monthly_searches,competition_level
latent diffusion models for generating novel and plausible dream narratives,0,UNSPECIFIED
hierarchical bayesian models of cultural evolution and belief systems,0,UNSPECIFIED
bindingbysynchrony validation,0,UNSPECIFIED
highimpact research on the harmonic signatures of psychedelic states,0,UNSPECIFIED
hierarchical models of language and thought,0,UNSPECIFIED
latent diffusion models for exploring the space of possible faces,0,UNSPECIFIED
mechanistic basis of mood,0,UNSPECIFIED
quantitative characterization of psychedelicinduced brain entropy,0,UNSPECIFIED
hierarchical control in robotics,0,UNSPECIFIED
insilico models of disease progression,0,UNSPECIFIED
hierarchical active inference models of obsessivecompulsive disorder,0,UNSPECIFIED
valence as a symmetry gauge,0,UNSPECIFIED
systemlevel analysis of network bifurcations during state transitions,0,UNSPECIFIED
dmn and prospection,0,UNSPECIFIED
phenomenal statespace tomography,0,UNSPECIFIED
highimpact computational analysis of neural annealing as a therapeutic mechanism,0,UNSPECIFIED
canonical models of brainwide communication,0,UNSPECIFIED
computational models of bliss,0,UNSPECIFIED
systemlevel models of how emotional states bias cognitive processing,0,UNSPECIFIED
causal mapping of prefrontalbrainstem pathways in effort and motivation,0,UNSPECIFIED
information geometry of brain states,0,UNSPECIFIED
multiscale graph theoretical analysis,0,UNSPECIFIED
multiscale analysis of material properties,0,UNSPECIFIED
rigorous formalization of the structure of emotional episodes,0,UNSPECIFIED
rigorous models of phenomenal fusion,0,UNSPECIFIED
causal inference in complex adaptive systems,0,UNSPECIFIED
harmonic codes for valence,0,UNSPECIFIED
adaptive resonance tuning in models of attention and perception,0,UNSPECIFIED
hierarchical convolutional neural network,10,LOW
hierarchical multi agent reinforcement learning,10,UNSPECIFIED
hierarchical personalized federated learning for user modeling,0,UNSPECIFIED
formal theories on the limits of artificial consciousness,0,UNSPECIFIED
validated biomarkers of aging,0,UNSPECIFIED
rigorous phenomenal sampling,0,UNSPECIFIED
canonical network models of the saliencevalence interface,0,UNSPECIFIED
highimpact research on the information architecture of the selfmodel,0,UNSPECIFIED
validated interventions for healthy aging,0,UNSPECIFIED
systemlevel understanding of societies,0,UNSPECIFIED
hierarchical learning systems,0,UNSPECIFIED
hierarchical models of brain connectivity,0,UNSPECIFIED
emergent patterns in urban systems,0,UNSPECIFIED
insilico evolution of networks capable of introspection,0,UNSPECIFIED
systemlevel analysis of hedonic setpoint regulation,0,UNSPECIFIED
insilico design of psychoactive molecules with specific phenomenological effects,0,UNSPECIFIED
adaptive coding of valence,0,UNSPECIFIED
neural annealing for skill acquisition,0,UNSPECIFIED
valence computation as pattern matching,0,UNSPECIFIED
valence computation and homeostasis,0,UNSPECIFIED
hierarchical active inference models of psychosis and delusion,0,UNSPECIFIED
phenomenal binding and gestalt perception,0,UNSPECIFIED
hierarchical organization in biology,30,LOW
hierarchical decision making,10,LOW
hierarchical decision making process,10,UNSPECIFIED
rigorous formalization of the concept of a phenomenal field,0,UNSPECIFIED
systemlevel models of social influence,0,UNSPECIFIED
canonical models of cortical microcircuits,0,UNSPECIFIED
mechanistic modeling of resonancebased communication in the brain,0,UNSPECIFIED
valence eigenvalues,0,UNSPECIFIED
adaptive neural population coding,0,UNSPECIFIED
formal languages for describing qualia,0,UNSPECIFIED
phenomenal binding and perceptual grouping,0,UNSPECIFIED
dmn and future thinking,0,UNSPECIFIED
hierarchical statespace models,0,UNSPECIFIED
egomodel boundary dynamics,0,UNSPECIFIED
qualia information bottleneck,0,UNSPECIFIED
reproducible psychophysical experiments on the granularity of perception,0,UNSPECIFIED
multiscale entropy analysis of heart rate variability as a marker of wellbeing,0,UNSPECIFIED
hierarchical models of decision making,0,UNSPECIFIED
empirical testing of the valencesymmetry link in olfaction,0,UNSPECIFIED
mechanistic models of phenomenal binding via resonant frequencies,0,UNSPECIFIED
validated measures of cognitive agency,0,UNSPECIFIED
resonant frequency therapy,10,LOW
resonant frequency therapy device,10,HIGH
resonant light technology cancer,10,LOW
resonant frequency therapy near me,10,UNSPECIFIED
adadelta,10,LOW
adaptive federated optimization,10,LOW
adaptive learning rate keras,10,UNSPECIFIED
adaptive learning rate pytorch,10,UNSPECIFIED
adaptive optimization,4400,LOW
adaptive pso,0,UNSPECIFIED
bioresonance rife,10,UNSPECIFIED
rife bio resonance therapy,0,UNSPECIFIED
rife bioresonance therapy,10,UNSPECIFIED
causal role of brain oscillations,0,UNSPECIFIED
adaptive resonance theory applied to qualia perception,0,UNSPECIFIED
computational models of neural annealing for trauma treatment,0,UNSPECIFIED
multiscale entropy and complexity analysis of restingstate networks,0,UNSPECIFIED
insilico evolution of connectomes that optimize for valence homeostasis,0,UNSPECIFIED
validated tools for measuring creativity,0,UNSPECIFIED
latent variable models that connect genetic polymorphisms to brain function,0,UNSPECIFIED
thalamocortical network models,0,UNSPECIFIED
egodissolution and mystical experience,0,UNSPECIFIED
adaptive optimization algorithms,0,UNSPECIFIED
highimpact computational modeling of neural annealing in psychotherapy,0,UNSPECIFIED
peerreviewed neurotheological studies,0,UNSPECIFIED
thalamocortical resonance,0,UNSPECIFIED
dmn and its relation to rumination,0,UNSPECIFIED
harmonic resonance in neural fields,0,UNSPECIFIED
formal analysis of the conditions for emergent consciousness in ai,0,UNSPECIFIED
multiscale analysis of brain network topology in health and disease,0,UNSPECIFIED
empirical studies correlating connectome eigenmodes with subjective reports,0,UNSPECIFIED
hierarchical control systems,0,UNSPECIFIED
causal mapping of the neural circuits underlying motivation and desire,0,UNSPECIFIED
canonical models of sensory transduction,0,UNSPECIFIED
adaptive resonance theory applied to understanding insight and aha moments,0,UNSPECIFIED
mechanistic models of how neural annealing facilitates cognitive reframing,0,UNSPECIFIED
qualia formalism,0,UNSPECIFIED
hierarchical models of language understanding,0,UNSPECIFIED
psychedelicinduced network metastability,0,UNSPECIFIED
rigorous validation of experimental results,0,UNSPECIFIED
insilico models of planetary climate,0,UNSPECIFIED
latent statetransition models,0,UNSPECIFIED
canonical models of cortical columns,0,UNSPECIFIED
reproducible quantification of bliss states,0,UNSPECIFIED
connectome eigenmodes,0,UNSPECIFIED
rigorous statistical methods for highdimensional data,0,UNSPECIFIED
neural annealing as bayesian inference,0,UNSPECIFIED
quantitative analysis of digital media,0,UNSPECIFIED
frontier research on the physics of life,0,UNSPECIFIED
empirical validation of psychedelic statespace navigation,0,UNSPECIFIED
empirical testing of the symmetry theory of valence using meg,0,UNSPECIFIED
rigorous psychophysical scaling of emotional intensity dimensions,0,UNSPECIFIED
canonical models of memory,0,UNSPECIFIED
emergent computational properties in neuromorphic hardware systems,0,UNSPECIFIED
phenomenal statespace dynamics,0,UNSPECIFIED
egodissolution and selftranscendence,0,UNSPECIFIED
reproducible neurostimulation therapies,0,UNSPECIFIED
systemlevel understanding of health,0,UNSPECIFIED
canonical network topologies,0,UNSPECIFIED
reproducible quantification of hedonic adaptation rates,0,UNSPECIFIED
mechanistic models of memory reconsolidation,0,UNSPECIFIED
frontier research on the potential for consciousness in large language models,0,UNSPECIFIED
phenomenal complexity measures,0,UNSPECIFIED
information processing in biological systems,0,UNSPECIFIED
systemlevel models of network resilience and vulnerability in mental health,0,UNSPECIFIED
validated psychometric instruments,0,UNSPECIFIED
peerreviewed validation of the symmetry theory of valence in moral cognition,0,UNSPECIFIED
rigorous psychophysical thresholding of phenomenal binding,0,UNSPECIFIED
canonical models of brain function,0,UNSPECIFIED
highimpact studies on collective behavior,0,UNSPECIFIED
rigorous analysis of information flow in thalamocortical circuits,0,UNSPECIFIED
foundational theories of consciousness as an emergent property of computation,0,UNSPECIFIED
harmonic resonance and valence,0,UNSPECIFIED
mechanistic models of how connectome harmonics support working memory,0,UNSPECIFIED
adaptive filtering of sensory data for stable perception,0,UNSPECIFIED
foundational theories on the evolution and function of subjective experience,0,UNSPECIFIED
hierarchical generative models of reality,0,UNSPECIFIED
rigorous validation of braincomputer interfaces,0,UNSPECIFIED
adaptive gain control in sensory qualia formation,0,UNSPECIFIED
rigorous statistical inference,0,UNSPECIFIED
phenomenal binding in synesthesia,0,UNSPECIFIED
causal inference from closedloop brain stimulation experiments,0,UNSPECIFIED
adaptive resonance theory as a framework for understanding brain plasticity,0,UNSPECIFIED
causal inference on the role of the insular cortex in subjective feeling states,0,UNSPECIFIED
mechanistic modeling of how connectome harmonics constrain brain dynamics,0,UNSPECIFIED
highimpact analysis of connectome eigenmode stability over the lifespan,0,UNSPECIFIED
validated selfreport methodologies,0,UNSPECIFIED
informationtheoretic measures of conscious processing capacity,0,UNSPECIFIED
informationtheoretic decomposition of multimodal sensory integration,0,UNSPECIFIED
quantitative analysis of legal systems,0,UNSPECIFIED
quantitative models of human experience,0,UNSPECIFIED
quantitative analysis of mystical experiences,0,UNSPECIFIED
symmetrybased valence metrics,0,UNSPECIFIED
frontier research in theoretical neuroscience,0,UNSPECIFIED
highimpact studies on complex adaptive systems,0,UNSPECIFIED
mechanistic models of behavior change,0,UNSPECIFIED
valenceinformation tradeoff,0,UNSPECIFIED
foundational principles of reality,0,UNSPECIFIED
informationtheoretic measures of synergy in phenomenal binding,0,UNSPECIFIED
psychedelicinduced plasticity,0,UNSPECIFIED
computational models of social harmony,0,UNSPECIFIED
validated digital tools for education,0,UNSPECIFIED
foundational models of suffering,0,UNSPECIFIED
emergent structures in complex networks,0,UNSPECIFIED
formal models of ethical reasoning,0,UNSPECIFIED
validated measures of interoceptive awareness,0,UNSPECIFIED
connectome harmonic fingerprints,0,UNSPECIFIED
adaptive resonance theory models of memory reconsolidation,0,UNSPECIFIED
emergent communication protocols,0,UNSPECIFIED
thalamocortical pathways and consciousness,0,UNSPECIFIED
latent trajectory analysis of individual differences in response to therapy,0,UNSPECIFIED
information geometry in statistics,0,UNSPECIFIED
mechanistic models of how connectome harmonics shape perception,0,UNSPECIFIED
emergent qualia structures,0,UNSPECIFIED
emergent agency in simulated neuroevolutionary systems,0,UNSPECIFIED
frontier research in complex systems science,0,UNSPECIFIED
highimpact research on the harmonic signatures of different sleep stages,0,UNSPECIFIED
multiscale modeling of information flow in corticothalamic loops,0,UNSPECIFIED
rigorous validation of causal claims,0,UNSPECIFIED
computational qualia science,0,UNSPECIFIED
hierarchical models of object recognition,0,UNSPECIFIED
formal models of reasoning,0,UNSPECIFIED
computational models of virtue ethics,0,UNSPECIFIED
latent trajectory analysis of mood dynamics over time,0,UNSPECIFIED
causal dissection of the circuitry underlying optogeneticinduced pleasure,0,UNSPECIFIED
formal theories of the relationship between information meaning and consciousness,0,UNSPECIFIED
harmonic brain state tomography,0,UNSPECIFIED
systemlevel analysis of the global economy,0,UNSPECIFIED
causal network analysis,10,LOW
affective neuroscience,40,LOW
got2b texturizing clay,20,MEDIUM
got2b phenomenal texturizing clay,10,MEDIUM
got2b phenomenal texture clay,10,HIGH
phenomenal texture clay,10,HIGH
affective neuroscience by jaak panksepp,10,HIGH
affective neuroscience deutsch,0,UNSPECIFIED
affective neuroscience of pleasure reward in humans and animals,10,UNSPECIFIED
affective neuroscience panksepp,10,HIGH
affective neuroscience the foundations of human and animal emotions,10,HIGH
gary flake the computational beauty of nature,10,UNSPECIFIED
got2b clay phenomenal,0,UNSPECIFIED
got2b phenomenal clay,10,UNSPECIFIED
got2b phenomenal texturizing clay 3.5 ounce,10,UNSPECIFIED
got2b texturising clay,0,UNSPECIFIED
got2be phenomenal texturizing clay,10,UNSPECIFIED
got2be texturizing clay,10,UNSPECIFIED
panksepp emotions,10,UNSPECIFIED
panksepp j,0,UNSPECIFIED
phenomenal clay,0,UNSPECIFIED
phenomenal got2b texturizing clay,10,UNSPECIFIED
phenomenal hair clay,10,UNSPECIFIED
phenomenal texturizing clay,10,UNSPECIFIED
schwarzkopf got2b phenomenal texture clay,10,UNSPECIFIED
schwarzkopf got2b phenomenal texturizing clay,10,UNSPECIFIED
schwarzkopf got2b phenomenal texturizing clay 100ml,10,UNSPECIFIED
schwarzkopf phenomenal texturizing clay,0,UNSPECIFIED
social affective neuroscience,10,LOW
texturizing clay got2b,10,UNSPECIFIED
the cambridge handbook of human affective neuroscience,10,UNSPECIFIED
the computational beauty of nature,10,LOW
egoscaffolding models,0,UNSPECIFIED
hierarchical representation of abstract emotional concepts,0,UNSPECIFIED
foundational physics of mind,0,UNSPECIFIED
empirical studies of contemplative states,0,UNSPECIFIED
rigorous analysis of the informationtheoretic complexity of conscious vs unconscious states,0,UNSPECIFIED
adaptive computational systems,0,UNSPECIFIED
phenomenal field dynamics,0,UNSPECIFIED
egomodel as a control system,0,UNSPECIFIED
adaptive optimization in complex landscapes,0,UNSPECIFIED
insilico investigation of connectome harmonic stability,0,UNSPECIFIED
latent manifold traversal in dream state transitions,0,UNSPECIFIED
causal manipulation of specific connectome harmonics with tms,0,UNSPECIFIED
insilico models for personalized medicine,0,UNSPECIFIED
systemlevel simulations of the impact of psychedelics on network topology,0,UNSPECIFIED
phenomenal texture,0,UNSPECIFIED
rigorous formalization of the concept of a phenomenal object,0,UNSPECIFIED
canonical models of neural information processing,0,UNSPECIFIED
default mode network mind wandering,10,UNSPECIFIED
validated measures of mindfulness and awareness,0,UNSPECIFIED
peerreviewed studies on the nature of reality,0,UNSPECIFIED
frontier research on the future of humanity,0,UNSPECIFIED
validated tools for mental health,0,UNSPECIFIED
insilico design of connectome architectures that resist pathological oscillations,0,UNSPECIFIED
dmn and mindwandering,0,UNSPECIFIED
information geometry of neural representations,0,UNSPECIFIED
rigorous formalization of the relationship between valence and motivation,0,UNSPECIFIED
validated measures of insight,0,UNSPECIFIED
adaptive systems for personalized medicine,0,UNSPECIFIED
empirical validation of hedonic tone metrics,0,UNSPECIFIED
multiscale analysis of the brain's functional connectivity dynamics,0,UNSPECIFIED
valence resonance frequencies,0,UNSPECIFIED
canonical computations in subcortical structures,0,UNSPECIFIED
thalamic reticular nucleus function,10,UNSPECIFIED
multiscale temporal dynamics,0,UNSPECIFIED
valence statespace,0,UNSPECIFIED
mechanistic modeling of symmetry detection in visual cortex,0,UNSPECIFIED
adaptive affective learning,0,UNSPECIFIED
connectome harmonic filtering,0,UNSPECIFIED
insilico evolution of connectomes that support stable highvalence states,0,UNSPECIFIED
hierarchical models of selfrepresentation,0,UNSPECIFIED
connectome harmonic basis set,0,UNSPECIFIED
quantitative analysis of artistic styles,0,UNSPECIFIED
adaptive economic systems,0,UNSPECIFIED
causal inference on the role of specific neural populations in perception,0,UNSPECIFIED
validated measures of emotional granularity,0,UNSPECIFIED
multiscale analysis of climate data,0,UNSPECIFIED
mechanistic modeling of affective inertia and momentum,0,UNSPECIFIED
peerreviewed framework for a structuralist approach to phenomenology,0,UNSPECIFIED
dmn and selfreferential processing,0,UNSPECIFIED
systemlevel modeling of homeostatic plasticity in mood regulation,0,UNSPECIFIED
peerreviewed psychometric tools,0,UNSPECIFIED
mechanistic modeling of thalamocortical dysrhythmia in epilepsy,0,UNSPECIFIED
information dynamics of cognition,0,UNSPECIFIED
frontier models of social dynamics,0,UNSPECIFIED
causal inference from targeted circuit manipulations in animal models,0,UNSPECIFIED
emergent behavior in cellular automata,0,UNSPECIFIED
canonical models of brain plasticity,0,UNSPECIFIED
valence eigenstates,0,UNSPECIFIED
computational models of anhedonia,0,UNSPECIFIED
phenomenal binding in working memory,0,UNSPECIFIED
emergent field dynamics in cortical tissue simulations,0,UNSPECIFIED
canonical models of predictive coding and the phenomenal self,0,UNSPECIFIED
empirical studies of selftranscendence,0,UNSPECIFIED
highimpact research on aversive drifts,0,UNSPECIFIED
mechanistic models of connectome harmonic dysregulation in tinnitus,0,UNSPECIFIED
highimpact computational analysis of neural annealing in learning,0,UNSPECIFIED
adaptive resonance in cortical circuits,0,UNSPECIFIED
causal brain interventions,0,UNSPECIFIED
frontier research in artificial general consciousness,0,UNSPECIFIED
adaptive neurostimulation protocols personalized to individual brain states,0,UNSPECIFIED
neural consonance,0,UNSPECIFIED
insilico trials for valence modulation,0,UNSPECIFIED
highimpact research on machine consciousness,0,UNSPECIFIED
emergent dynamics in default mode networks,0,UNSPECIFIED
formal proofs regarding the computability of phenomenal states,0,UNSPECIFIED
highimpact theories of computation,0,UNSPECIFIED
information theory and cryptography,10,UNSPECIFIED
causal inference in machine learning,10,LOW
symmetry theory of valence,10,LOW
causal inference machine learning,40,LOW
causal machine learning,30,LOW
causal ml,30,LOW
machine learning for causal inference,10,LOW
machine learning and causal inference,40,LOW
causal inference and machine learning,40,LOW
causal inference machine learning python,10,LOW
causal inference machine learning example,10,UNSPECIFIED
a course in number theory and cryptography by neal koblitz,10,LOW
a course in number theory and cryptography neal koblitz,10,UNSPECIFIED
causal analysis machine learning,10,UNSPECIFIED
causal deep learning,10,LOW
causal graph machine learning,10,LOW
causal inference deep learning,10,LOW
causal inference meets machine learning,10,UNSPECIFIED
causal inference ml,10,LOW
causal inference python github,0,UNSPECIFIED
causal inference reinforcement learning,10,UNSPECIFIED
causal inference with machine learning,10,UNSPECIFIED
causal learn python,10,LOW
causal learning machine learning,10,UNSPECIFIED
causal machine,10,LOW
causal machine learning python,10,UNSPECIFIED
causal ml python,10,LOW
causal model machine learning,10,UNSPECIFIED
causal reasoning machine learning,10,UNSPECIFIED
causal relationship machine learning,0,UNSPECIFIED
causality and deep learning,0,UNSPECIFIED
causality and machine learning,10,UNSPECIFIED
causality for machine learning,10,UNSPECIFIED
causality in deep learning,0,UNSPECIFIED
causality in machine learning,10,UNSPECIFIED
causality in ml,10,LOW
causalml python package for causal machine learning,10,UNSPECIFIED
cryptography and information theory,10,UNSPECIFIED
deep causal learning,10,LOW
deep learning causal inference,10,LOW
deep learning for causal inference,10,UNSPECIFIED
double machine learning causal inference,10,LOW
double machine learning for causal and treatment effects,10,UNSPECIFIED
double ml causal inference,10,LOW
information theory and coding by ranjan bose,0,UNSPECIFIED
information theory coding and cryptography,10,UNSPECIFIED
information theory coding and cryptography by ranjan bose,0,UNSPECIFIED
information theory coding and cryptography ranjan bose,0,UNSPECIFIED
information theory in cryptography,10,UNSPECIFIED
machine learning causality,10,UNSPECIFIED
ml causal inference,10,UNSPECIFIED
number theory and cryptography in discrete mathematics,0,UNSPECIFIED
number theory and cryptography ppt,10,UNSPECIFIED
number theory in cryptography and network security,0,UNSPECIFIED
shannon's theory in cryptography,0,UNSPECIFIED
phenomenal geometry of selfhood,0,UNSPECIFIED
validated questionnaires for altered states,0,UNSPECIFIED
formal axiomatic systems for a science of subjective wellbeing,0,UNSPECIFIED
phenomenal unity problem,0,UNSPECIFIED
computational models of moral decisionmaking,0,UNSPECIFIED
multiscale modeling of the relationship between neural activity and hemodynamics,0,UNSPECIFIED
empirical studies of the limits of introspection,0,UNSPECIFIED
informationtheoretic decomposition of consciousness into irreducible components,0,UNSPECIFIED
highimpact studies on selforganizing systems,0,UNSPECIFIED
multiscale entropy analysis of brain signals as a proxy for conscious level,0,UNSPECIFIED
peerreviewed research on altered states of consciousness,0,UNSPECIFIED
hierarchical models in cognitive science,0,UNSPECIFIED
reproducible methods in psychophysics,0,UNSPECIFIED
egodissolution as a bayesian update,0,UNSPECIFIED
empirical studies on valence contagion,0,UNSPECIFIED
resonance signatures of valence,0,UNSPECIFIED
frontier research on the qualia of collective and swarm intelligence,0,UNSPECIFIED
qualia structure,10,LOW
highimpact research on the biophysical basis of connectome harmonics,0,UNSPECIFIED
frontier research on consciousness in nonhuman animals,0,UNSPECIFIED
emergent selfscaffolding in developing neural network architectures,0,UNSPECIFIED
canonical models of neurodevelopment,0,UNSPECIFIED
computational modeling of neural annealing as a process of statespace exploration,0,UNSPECIFIED
causal dissection of the brain circuits involved in spiritual experiences,0,UNSPECIFIED
causal discovery from observational data,0,UNSPECIFIED
highimpact research on collective intelligence,0,UNSPECIFIED
frontier research on the qualia of abstract thought,0,UNSPECIFIED
canonical models of learning and memory,0,UNSPECIFIED
informationtheoretic measures of the causal integration of the connectome,0,UNSPECIFIED
dmn suppression and task engagement,0,UNSPECIFIED
latent state models of momenttomoment fluctuations in mood,0,UNSPECIFIED
phenomenal information content,0,UNSPECIFIED
systemlevel homeostatic control,0,UNSPECIFIED
formal theories of how qualia acquire semantic meaning,0,UNSPECIFIED
multiscale modeling of brain aging,0,UNSPECIFIED
adaptive sensory substitution,0,UNSPECIFIED
dmnexecutive control coupling,0,UNSPECIFIED
psychedelic trajectory visualization,0,UNSPECIFIED
formal models of legal argumentation,0,UNSPECIFIED
dmn hyperconnectivity and rumination,0,UNSPECIFIED
canonical models of associative memory,0,UNSPECIFIED
insilico evolution of connectomes that are resilient to damage,0,UNSPECIFIED
phenomenal binding and unity of consciousness,0,UNSPECIFIED
frontier development of a psychophysics of phenomenology,0,UNSPECIFIED
connectome harmonic statespaces,0,UNSPECIFIED
mechanistic basis of phenomenal unity,0,UNSPECIFIED
formal models of mathematical intuition,0,UNSPECIFIED
causal inference from studies using transcranial focused ultrasound stimulation,0,UNSPECIFIED
highimpact neurotheology research,0,UNSPECIFIED
validated measures of empathy and compassion,0,UNSPECIFIED
validated markers of neuroplasticity,0,UNSPECIFIED
frontier research into the subjective experiences of artificial agents,0,UNSPECIFIED
peerreviewed framework for the temporal dynamics of phenomenal states,0,UNSPECIFIED
phenomenal geometry,0,UNSPECIFIED
causal mapping of brainstem neuromodulation on cortical states,0,UNSPECIFIED
peerreviewed models of consciousness based on criticality,0,UNSPECIFIED
frontier exploration of latent variables in psychedelic trip reports,0,UNSPECIFIED
connectome harmonics,10,UNSPECIFIED
psychedelic trajectory optimization,0,UNSPECIFIED
multiscale graph theory analysis of brain network evolution,0,UNSPECIFIED
emergent complexity in evolutionary biology,0,UNSPECIFIED
canonical models of the interplay between amygdala and prefrontal cortex,0,UNSPECIFIED
validated bliss induction,0,UNSPECIFIED
causal analysis of brainstemcortical loops in arousal and awareness,0,UNSPECIFIED
egodissolution and creativity,0,UNSPECIFIED
multiscale analysis of brain signals,0,UNSPECIFIED
rigorous validation of firstperson data collection methods,0,UNSPECIFIED
dmn and social cognition,0,UNSPECIFIED
psychedelicinduced network dynamics,0,UNSPECIFIED
peerreviewed protocols for inducing and sustaining highvalence states,0,UNSPECIFIED
mechanistic models of learning and plasticity,0,UNSPECIFIED
systemlevel analysis of disease networks,0,UNSPECIFIED
emergent hierarchies of control in simulated robotic ecosystems,0,UNSPECIFIED
peerreviewed studies on the phenomenology of time,0,UNSPECIFIED
validated assessment of altered states,0,UNSPECIFIED
canonical models of brain organization,0,UNSPECIFIED
computational models of hope,0,UNSPECIFIED
information theory and machine learning,10,LOW
application of matrix theory in machine learning,0,UNSPECIFIED
deep learning information theory,10,UNSPECIFIED
elements of information theory in machine learning,10,UNSPECIFIED
graph theory for machine learning,10,UNSPECIFIED
information geometry deep learning,10,UNSPECIFIED
information geometry machine learning,10,UNSPECIFIED
information theory and deep learning,10,UNSPECIFIED
information theory deep learning,10,UNSPECIFIED
information theory for machine learning,10,LOW
information theory in deep learning,10,LOW
information theory in machine learning,10,LOW
information theory machine learning,10,LOW
information theory of deep learning,10,UNSPECIFIED
machine learning and information theory,10,UNSPECIFIED
machine learning information theory,10,LOW
theory of statistical learning,10,UNSPECIFIED
peerreviewed data on mystical states,0,UNSPECIFIED
mechanistic models of ego dissolution via serotonergic receptor activation,0,UNSPECIFIED
phenomenal binding and objecthood,0,UNSPECIFIED
adaptive resonance models of concept formation and learning,0,UNSPECIFIED
highimpact studies on the computational basis of suffering,0,UNSPECIFIED
emergent selforganizing patterns in highdensity neurorecordings,0,UNSPECIFIED
qualia geometry and topology,0,UNSPECIFIED
phenomenal binding and the specious present,0,UNSPECIFIED
latent variable models for timeseries data,0,UNSPECIFIED
mechanistic models of geneenvironment interaction,0,UNSPECIFIED
informationtheoretic measures of the causal structure of the brain,0,UNSPECIFIED
hierarchical models of selfhood across different time scales,0,UNSPECIFIED
informationtheoretic bounds on conscious bandwidth,0,UNSPECIFIED
informationtheoretic analysis of the structure of selfreferential thought,0,UNSPECIFIED
lowvalence state dynamics,0,UNSPECIFIED
frontier development of a calculus for qualia combination,0,UNSPECIFIED
egomodel deconstruction and reconstruction,0,UNSPECIFIED
hierarchical bayesian models for understanding perception and illusion,0,UNSPECIFIED
quantitative phenomenology of synesthetic experiences,0,UNSPECIFIED
emergent social cognition models,0,UNSPECIFIED
frontier development of qualia bci,0,UNSPECIFIED
dmn coherence,0,UNSPECIFIED
reproducible psychophysical studies on the feel of mental effort,0,UNSPECIFIED
peerreviewed framework for qualia formalism,0,UNSPECIFIED
frontier technologies for scientific discovery,0,UNSPECIFIED
dmn suppression techniques,0,UNSPECIFIED
ego dissolution metrics,0,UNSPECIFIED
empirical investigation of harmonic codes in the visual cortex,0,UNSPECIFIED
frontier exploration of the qualia of nonhuman organisms,0,UNSPECIFIED
causal analysis of optogeneticallycontrolled valence circuits,0,UNSPECIFIED
emergent computational capabilities in recurrent neural networks,0,UNSPECIFIED
reproducible experiments on the modulation of valence by symmetry,0,UNSPECIFIED
systemlevel models of network switching during state transitions,0,UNSPECIFIED
phenomenal coherence,0,UNSPECIFIED
validated models of therapeutic action,0,UNSPECIFIED
emergent properties of neural collectives,0,UNSPECIFIED
egomodel fragmentation,0,UNSPECIFIED
valence charge,10,UNSPECIFIED
adaptive traffic control systems,10,UNSPECIFIED
adaptive responsive traffic signal,0,UNSPECIFIED
adaptive responsive traffic signal system,0,UNSPECIFIED
adaptive signal control,10,UNSPECIFIED
adaptive signal control system,10,UNSPECIFIED
adaptive stoplight system,0,UNSPECIFIED
adaptive traffic control,10,LOW
adaptive traffic control system ppt,10,UNSPECIFIED
adaptive traffic light control system,10,UNSPECIFIED
adaptive traffic management,10,UNSPECIFIED
adaptive traffic management system,10,UNSPECIFIED
adaptive traffic signal,10,UNSPECIFIED
adaptive traffic signal control,10,LOW
adaptive traffic signal control system,10,LOW
adaptive traffic signal system,10,LOW
formal valence,0,UNSPECIFIED
insync adaptive traffic control system,10,UNSPECIFIED
