text,avg_monthly_searches,competition
educación accesible,10,LOW
google classroom para docentes,10,UNSPECIFIED
google classroom profesor,10,LOW
google drive para docentes,10,UNSPECIFIED
google drive para profesores,0,UNSPECIFIED
herramienta docente,10,UNSPECIFIED
herramientas 2.0 para docentes,0,UNSPECIFIED
herramientas de google para docentes,10,UNSPECIFIED
herramientas de la practica docente,0,UNSPECIFIED
herramientas de moodle para el profesor,0,UNSPECIFIED
herramientas de profesor,10,LOW
herramientas de un docente,10,UNSPECIFIED
herramientas de un maestro de primaria,10,UNSPECIFIED
herramientas de una profesora,0,UNSPECIFIED
herramientas del docente digital,0,UNSPECIFIED
herramientas del docente en el aula,0,UNSPECIFIED
herramientas del profesor,0,UNSPECIFIED
herramientas didacticas digitales,10,UNSPECIFIED
herramientas didácticas para clases virtuales,10,UNSPECIFIED
herramientas digitales docentes,10,UNSPECIFIED
herramientas digitales para docentes 2021,0,UNSPECIFIED
herramientas digitales para docentes 2022,0,UNSPECIFIED
herramientas digitales para la docencia,10,UNSPECIFIED
herramientas digitales para maestros,0,UNSPECIFIED
herramientas docentes digitales,10,UNSPECIFIED
herramientas docentes online,0,UNSPECIFIED
herramientas e learning para docentes,0,UNSPECIFIED
herramientas google para docentes,10,UNSPECIFIED
herramientas moodle para profesores,10,UNSPECIFIED
herramientas offline para docentes,0,UNSPECIFIED
herramientas online para docentes,0,UNSPECIFIED
herramientas online para profesores,0,UNSPECIFIED
herramientas para docentes clases virtuales,10,UNSPECIFIED
herramientas para docentes digitales,0,UNSPECIFIED
herramientas para la practica docente,0,UNSPECIFIED
herramientas para maestros,10,UNSPECIFIED
herramientas para maestros online,0,UNSPECIFIED
herramientas para profesores,10,UNSPECIFIED
herramientas para profesores online,0,UNSPECIFIED
herramientas tecnologicas en la educacion,10,UNSPECIFIED
herramientas tecnologicas para docentes,10,UNSPECIFIED
herramientas tecnológicas para docentes,10,UNSPECIFIED
herramientas tic para docentes,10,UNSPECIFIED
herramientas tic para profesores,10,UNSPECIFIED
herramientas virtuales para docentes,10,UNSPECIFIED
juegos educativos para docentes,0,UNSPECIFIED
kahoot para docentes,10,UNSPECIFIED
kahoot para profesores,10,UNSPECIFIED
kahoot profesor,10,MEDIUM
la accesibilidad en los centros educativos,10,UNSPECIFIED
maestros y las tics,0,UNSPECIFIED
marco europeo para la competencia digital de los educadores digcompedu,0,UNSPECIFIED
moodle para docentes,10,HIGH
moodle para profesores,10,UNSPECIFIED
padlet para docentes,10,LOW
padlet para profesores,10,MEDIUM
plataforma canvas para profesores,0,UNSPECIFIED
plataforma de recursos digitales docente,0,UNSPECIFIED
plataforma gestión académica,10,UNSPECIFIED
plataforma para maestros,10,UNSPECIFIED
profesores herramientas,0,UNSPECIFIED
quizizz para docentes,10,UNSPECIFIED
quizizz para profesores,0,UNSPECIFIED
recursos digitales para maestros,0,UNSPECIFIED
recursos educativos para docentes,10,HIGH
recursos educativos para profesores,10,UNSPECIFIED
recursos educativos virtuales para docentes,0,UNSPECIFIED
recursos tecnologicos para docentes,10,UNSPECIFIED
recursos tic para docentes,10,UNSPECIFIED
recursos web para docentes,10,UNSPECIFIED
tecnologia para docentes,10,UNSPECIFIED
tics para docentes,10,MEDIUM
tics para profesores,0,UNSPECIFIED
zoom herramientas digitales para docentes,0,UNSPECIFIED
políticas de inclusión digital,0,UNSPECIFIED
gestión de clases online,0,UNSPECIFIED
accesibilidad digital en campus,0,UNSPECIFIED
lector de pantalla compatible,0,UNSPECIFIED
educación especial tecnología,0,UNSPECIFIED
inversión en edtech,0,UNSPECIFIED
aprendizaje social y colaborativo,10,UNSPECIFIED
software para inclusión,0,UNSPECIFIED
enseñanza con ia,0,UNSPECIFIED
ia para docentes,30,HIGH
biblioteca de recursos digitales,10,UNSPECIFIED
aprendizaje inclusivo,10,UNSPECIFIED
modelo de inclusión educativa,10,LOW
ia para resumir textos,140,HIGH
tecnología de asistencia,10,LOW
crear clases online,10,UNSPECIFIED
aprendizaje colaborativo online,0,UNSPECIFIED
curso diseñador web,90,HIGH
inteligencia artificial para resumir textos,30,HIGH
curso de diseñador web,50,HIGH
curso de diseñador de paginas web,10,HIGH
curso diseñador paginas web,10,HIGH
inteligencia artificial que resume textos,10,HIGH
vender un curso online,10,UNSPECIFIED
ia para resumir,70,HIGH
aprendizaje cooperativo y educación inclusiva,0,UNSPECIFIED
aprendizaje sostenible para contribuir a la inclusión,0,UNSPECIFIED
asistencia tecnológica para personas con discapacidad,0,UNSPECIFIED
biblioteca virtual libros de texto gratuitos,0,UNSPECIFIED
educación física inclusiva ejemplos,10,UNSPECIFIED
educación inclusiva en el mundo,10,UNSPECIFIED
educación inclusiva para personas con discapacidad,10,UNSPECIFIED
equipo de asistencia tecnologica,0,UNSPECIFIED
geogebra para primaria,10,LOW
ia que resume,10,HIGH
ia que resume textos,30,HIGH
inclusión de personas con discapacidad en la educación superior,10,UNSPECIFIED
inclusión educativa y aprendizaje cooperativo,0,UNSPECIFIED
inclusión segun la unesco,10,UNSPECIFIED
inclusión y calidad educativa,10,UNSPECIFIED
micromentor que es,0,UNSPECIFIED
modelo de educacion inclusiva,0,UNSPECIFIED
modelo de inclusion educativa,0,UNSPECIFIED
modelo de plan de inclusión educativa,0,UNSPECIFIED
modelos educativos inclusivos,0,UNSPECIFIED
nube de palabras colaborativa gratis,10,UNSPECIFIED
nube de palabras colaborativa online,10,UNSPECIFIED
nube de palabras online colaborativa,10,UNSPECIFIED
nubes de palabras colaborativas online,10,UNSPECIFIED
plataforma virtual politecnico,0,UNSPECIFIED
páginas web para estudiantes de secundaria,10,UNSPECIFIED
recursos digitales tutorial,0,UNSPECIFIED
recursos digitales tutoriales com,0,UNSPECIFIED
resumidor ia,20,HIGH
resumir con ia,70,HIGH
resumir ia,210,HIGH
resumir textos con inteligencia artificial,10,HIGH
resumir textos ia,50,HIGH
sitios de aprendizaje inclusivo,10,UNSPECIFIED
tecnologia de asistencia para personas con discapacidad,10,UNSPECIFIED
tirant lo blanc adaptació,0,UNSPECIFIED
tirant lo blanc episodis amorosos les eines,0,UNSPECIFIED
tutorias en linea moodle,0,UNSPECIFIED
campus virtual para escuelas,0,UNSPECIFIED
plataforma de mentoría,0,UNSPECIFIED
herramientas para educación primaria,0,UNSPECIFIED
adaptador de contenido web,0,UNSPECIFIED
plataforma para tutorías,0,UNSPECIFIED
software para adaptar clases,0,UNSPECIFIED
creación de contenido scorm,0,UNSPECIFIED
analítica predictiva en educación,0,UNSPECIFIED
gestión de recursos didácticos,0,UNSPECIFIED
adaptar libros de texto,0,UNSPECIFIED
plataforma fácil de usar,0,UNSPECIFIED
gestión de matrícula online,0,UNSPECIFIED
tecnología para el aprendizaje,10,UNSPECIFIED
diseño universal de aprendizaje,50,LOW
soluciones para escuelas,10,UNSPECIFIED
futuro de la educación,10,HIGH
educación sin barreras,10,UNSPECIFIED
detectar plagio con ia,10,UNSPECIFIED
enseñanza híbrida,10,UNSPECIFIED
herramientas de accesibilidad,10,LOW
personalización del aprendizaje,10,LOW
campus virtual,27100,LOW
aula virtual,18100,LOW
universidad virtual,110,HIGH
campus digital,20,LOW
cv virtual,10,HIGH
plataforma virtual,90,MEDIUM
micampus residencias,10,HIGH
dua educacion,10,LOW
dua diseño universal de aprendizaje,30,LOW
mi aula virtual,320,LOW
e learning campus,10,LOW
plataforma virtual moodle,10,UNSPECIFIED
diseño universal para el aprendizaje,20,LOW
campus e learning,10,LOW
aula virtual formacion profesorado,0,UNSPECIFIED
enfermeria digital campus,0,UNSPECIFIED
ef oxford campus,20,MEDIUM
campus virtual de salud publica,20,MEDIUM
campus virtual siglo 21,1000,LOW
tech campus virtual,20,MEDIUM
universidad del distrito federal campus condesa,0,UNSPECIFIED
diseño universal del aprendizaje,10,LOW
dua educación,10,LOW
evaluar accesibilidad web,10,UNSPECIFIED
herramientas de accesibilidad web,10,MEDIUM
iga campus virtual,210,LOW
eadic campus virtual,10,UNSPECIFIED
ficde campus virtual,50,MEDIUM
siglo 21 campus virtual,480,LOW
aula virtual cruz roja,10,LOW
herramientas accesibilidad web,10,UNSPECIFIED
facultad virtual,10,HIGH
abc campus virtual,20,LOW
fude campus virtual,30,LOW
medir accesibilidad web,10,UNSPECIFIED
principios del dua,10,LOW
cambridge house campus virtual,10,UNSPECIFIED
diseño universal de aprendizaje ejemplos,10,LOW
principios dua,10,LOW
plataforma campus virtual,10,LOW
aprendizaje dua,10,LOW
eom campus virtual,10,LOW
diseño universal de aprendizaje pdf,10,LOW
aula virtual san martin,10,LOW
techtitute campus virtual,10,MEDIUM
tech aula virtual,10,UNSPECIFIED
virtual moodle,10,MEDIUM
universidad austral campus virtual,390,LOW
axon training campus virtual,210,LOW
campus master d,10,UNSPECIFIED
inap campus virtual,590,LOW
ops campus virtual,110,LOW
dua diseño universal de aprendizaje pdf,10,UNSPECIFIED
isep campus virtual,10,LOW
campus virtual cruz roja,10,LOW
accesibilidad en la web,50,MEDIUM
residencia campus,10,LOW
campus virtual unc cursos gratuitos,10,MEDIUM
dua en educacion,10,LOW
principios del diseño universal de aprendizaje,10,LOW
aula virtual derecho,50,LOW
la educacion del futuro,10,LOW
21 edu ar campus virtual,10,MEDIUM
3 principios del diseño universal de aprendizaje,10,UNSPECIFIED
3 principios del dua,10,LOW
3 principios dua,10,LOW
9 pautas del dua,0,UNSPECIFIED
aasm campus virtual,70,LOW
abc aula virtual,20,LOW
abc campus virtual 2022,0,UNSPECIFIED
acceder a campus virtual,10,UNSPECIFIED
acceder al campus virtual,10,UNSPECIFIED
acceder campus virtual,10,UNSPECIFIED
accesibilidad de una web,0,UNSPECIFIED
acceso a campus virtual,10,LOW
acceso al campus,10,LOW
acceso al campus virtual,20,LOW
acceso aula virtual,30,LOW
alba pastor c 2011 diseño universal para el aprendizaje cast,0,UNSPECIFIED
alba pastor diseño universal para el aprendizaje,10,MEDIUM
alba pastor dua,10,LOW
american idiomas campus virtual,0,UNSPECIFIED
amet aula virtual,20,LOW
amet campus virtual,10,LOW
amia cultura campus virtual,20,LOW
aprendizaje con la tecnologia,0,UNSPECIFIED
aprendizaje con tecnologia,10,LOW
aprendizaje de tecnologia,10,HIGH
aprendizaje en tecnología,0,UNSPECIFIED
aprendizaje en tecnología punto com,0,UNSPECIFIED
aprendizaje universal,10,LOW
aprendizaje universal dua,0,UNSPECIFIED
apsa campus virtual,210,LOW
arandu campus virtual,0,UNSPECIFIED
artes aula virtual,10,LOW
aula campus panamericana,10,UNSPECIFIED
aula campus virtual,10,LOW
aula dua,10,LOW
aula infod,10,LOW
aula magna virtual,10,UNSPECIFIED
aula virtual 1,10,UNSPECIFIED
aula virtual 2,10,LOW
aula virtual 2021,0,UNSPECIFIED
aula virtual abc,20,LOW
aula virtual acceso,10,LOW
aula virtual agro,10,LOW
aula virtual alfa,10,UNSPECIFIED
aula virtual alumnos,10,LOW
aula virtual apn,10,UNSPECIFIED
aula virtual atlantida,10,LOW
aula virtual aula virtual,10,HIGH
aula virtual austral,20,LOW
aula virtual autonoma de ica,0,UNSPECIFIED
aula virtual avanza,10,UNSPECIFIED
aula virtual bachillerato,0,UNSPECIFIED
aula virtual banco w,0,UNSPECIFIED
aula virtual bernardino rivadavia,10,UNSPECIFIED
aula virtual bicentenario,0,UNSPECIFIED
aula virtual blackboard,10,LOW
aula virtual bue edu ar,1000,LOW
aula virtual cae,10,LOW
aula virtual campus,10,LOW
aula virtual champagnat,10,UNSPECIFIED
aula virtual ciencias medicas,10,LOW
aula virtual cml,40,LOW
aula virtual cmu,0,UNSPECIFIED
aula virtual cnm,10,LOW
aula virtual codo a codo,70,LOW
aula virtual colegio corazón de maría,10,LOW
aula virtual colegio de psicologos,10,LOW
aula virtual colegio monserrat,10,LOW
aula virtual colegio salesiano,10,UNSPECIFIED
aula virtual colegio william harvey,0,UNSPECIFIED
aula virtual comunicacion,10,LOW
aula virtual conti,10,LOW
aula virtual corazon de maria,70,LOW
aula virtual cpel,170,LOW
aula virtual cultural,10,UNSPECIFIED
aula virtual dad,30,LOW
aula virtual de ciencias economicas,10,UNSPECIFIED
aula virtual de medicina,10,LOW
aula virtual de odontologia,10,UNSPECIFIED
aula virtual de psicología,10,LOW
aula virtual de salud,10,LOW
aula virtual del profesorado acceder,0,UNSPECIFIED
aula virtual derecho unt,10,LOW
aula virtual don bosco,10,LOW
aula virtual eco,10,LOW
aula virtual economicas,20,LOW
aula virtual emanuel,10,LOW
aula virtual enfermería,10,LOW
aula virtual epet 7,10,UNSPECIFIED
aula virtual esccp,110,LOW
aula virtual estudiantes,10,UNSPECIFIED
aula virtual et,0,UNSPECIFIED
aula virtual face,10,UNSPECIFIED
aula virtual facultad de ciencias economicas,10,LOW
aula virtual facultad de ciencias economicas unc,10,LOW
aula virtual facultad de ciencias económicas,10,LOW
aula virtual facultad de derecho,10,LOW
aula virtual facultad de medicina,10,LOW
aula virtual facultad de salud unsa,10,UNSPECIFIED
aula virtual fahce,10,LOW
aula virtual farmacia,0,UNSPECIFIED
aula virtual fceqyn,10,LOW
aula virtual fcf,10,UNSPECIFIED
aula virtual fes,10,UNSPECIFIED
aula virtual ficde,10,LOW
aula virtual fl,10,LOW
aula virtual fnn,0,UNSPECIFIED
aula virtual frba,260,LOW
aula virtual fsoc,70,LOW
aula virtual fundacion alfa,10,LOW
aula virtual gobierno de la ciudad,390,LOW
aula virtual happyland,0,UNSPECIFIED
aula virtual hegel,0,UNSPECIFIED
aula virtual hospital italiano,110,LOW
aula virtual iaes,10,LOW
aula virtual icap,10,UNSPECIFIED
aula virtual ides,10,UNSPECIFIED
aula virtual imc,10,LOW
aula virtual imes,10,UNSPECIFIED
aula virtual in,0,UNSPECIFIED
aula virtual inap,10,LOW
aula virtual iniciar sesion,10,LOW
aula virtual insutec,10,LOW
aula virtual isarm,10,UNSPECIFIED
aula virtual iscet,10,LOW
aula virtual itu,10,LOW
aula virtual juan bautista alberdi,10,LOW
aula virtual la paz,10,LOW
aula virtual liceo,20,LOW
aula virtual llano,10,UNSPECIFIED
aula virtual maria auxiliadora,10,UNSPECIFIED
aula virtual martin zapata,10,LOW
aula virtual master d,0,UNSPECIFIED
aula virtual mec,10,LOW
aula virtual medicina,20,LOW
aula virtual medicina unne,40,LOW
aula virtual ministerio de salud,10,LOW
aula virtual monserrat,70,LOW
aula virtual montoya,10,UNSPECIFIED
aula virtual moodle fceqyn,10,UNSPECIFIED
aula virtual murialdo,50,LOW
aula virtual nacional,10,UNSPECIFIED
aula virtual normal,10,LOW
aula virtual nueva formacion,10,MEDIUM
aula virtual odontologia,10,LOW
aula virtual ops,10,LOW
aula virtual ort,590,LOW
aula virtual panamericana,10,LOW
aula virtual pellegrini,140,LOW
aula virtual plataforma,10,UNSPECIFIED
aula virtual rivadavia,10,LOW
aula virtual saavedra,10,LOW
aula virtual sagrado corazon,210,LOW
aula virtual salesiano,20,LOW
aula virtual salud,10,LOW
aula virtual salud publica,10,LOW
aula virtual san alberto,10,LOW
aula virtual san jose,10,LOW
aula virtual san lucas,10,UNSPECIFIED
aula virtual san pablo,10,LOW
aula virtual san simon,0,UNSPECIFIED
aula virtual santa ana,10,LOW
aula virtual santa rosa,40,LOW
aula virtual secundaria,10,HIGH
aula virtual sena,10,UNSPECIFIED
aula virtual siglo 21,70,LOW
aula virtual simon bolivar,10,LOW
aula virtual tech,10,UNSPECIFIED
aula virtual the open faculty,0,UNSPECIFIED
aula virtual ucc,90,LOW
aula virtual uepc,10,LOW
aula virtual un,10,LOW
aula virtual un bosque,10,UNSPECIFIED
aula virtual uncuyo,390,LOW
aula virtual universidad,10,UNSPECIFIED
aula virtual universidad autonoma,0,UNSPECIFIED
aula virtual universidad catolica,10,UNSPECIFIED
aula virtual universidad central,10,UNSPECIFIED
aula virtual unlpam,10,LOW
aula virtual unlpam vet,10,UNSPECIFIED
aula virtual unmdp exactas,10,UNSPECIFIED
aula virtual up,10,LOW
aula virtual uptc presencial,0,UNSPECIFIED
aula virtual utn frba,1900,LOW
aula virtual xxi,10,LOW
aulas utn,260,LOW
aulas virtuales ffyl,10,LOW
aulas virtuales ucc,90,LOW
aulas virtuales utn frba,1900,LOW
austral campus virtual,1000,LOW
autonoma campus virtual,10,UNSPECIFIED
avanza campus virtual,10,UNSPECIFIED
axon campus virtual,140,LOW
bac campus virtual,10,UNSPECIFIED
badra campus virtual,10,LOW
barcelo campus virtual,390,LOW
barcelo virtual campus,210,LOW
biblioteca bernardino rivadavia aula virtual,10,UNSPECIFIED
bop 8 aula virtual,10,UNSPECIFIED
buap campus,10,UNSPECIFIED
c virtual,10,LOW
cam0us virtual,10,LOW
campus abc virtual,10,LOW
campus academico,70,LOW
campus administrativo uca,50,LOW
campus alumnos uca,30,LOW
campus artes de la escritura,70,LOW
campus aula virtual,10,LOW
campus austral virtual,90,LOW
campus autonoma,10,UNSPECIFIED
campus bimodal,30,LOW
campus bimodal unrn,90,LOW
campus buap,0,UNSPECIFIED
campus campus virtual,10,LOW
campus capacyt,30,LOW
campus cedsa,10,LOW
campus censo indec,10,UNSPECIFIED
campus ciencias de la salud,50,LOW
campus ciencias médicas,40,LOW
campus colegio del norte,10,LOW
campus colegio yapeyu,20,LOW
campus conabip,10,LOW
campus cudi virtual,0,UNSPECIFIED
campus cv,10,HIGH
campus decroly virtual,10,UNSPECIFIED
campus del ingresante uner,10,UNSPECIFIED
campus derecho unt,10,LOW
campus digital 2.0,0,UNSPECIFIED
campus digital iniciar sesión,0,UNSPECIFIED
campus ead,20,MEDIUM
campus educaciontuc,10,LOW
campus en linea uat,0,UNSPECIFIED
campus exactas uba,1300,LOW
campus facultad de ciencias de la salud y trabajo social,10,UNSPECIFIED
campus facultad de ciencias economicas,10,LOW
campus fadu,12100,LOW
campus fadu virtual,50,LOW
campus fasta,10,LOW
campus fhab,20,LOW
campus formación acceso alumnos,0,UNSPECIFIED
campus formación online,0,UNSPECIFIED
campus fp distancia,0,UNSPECIFIED
campus hospital el cruce,10,LOW
campus hospital gutierrez,20,LOW
campus hospital italiano,480,LOW
campus idiomas uba,20,LOW
campus iga virtual,20,LOW
campus igacloud net,20,LOW
campus inap gob ar,30,LOW
campus inap virtual,90,LOW
campus indec censo,10,UNSPECIFIED
campus ingresantes,10,LOW
campus ingresantes utn,10,LOW
campus instituto,260,LOW
campus instituto decroly,10,UNSPECIFIED
campus instituto superior de seguridad publica,10,LOW
campus isep,10,LOW
campus iset 57,10,LOW
campus italiano,90,LOW
campus mdp edu ar,10,LOW
campus medicina,140,LOW
campus normal,10,LOW
campus online ccoo,10,UNSPECIFIED
campus online virtual,10,LOW
campus ort edu ar,140,LOW
campus ort virtual,480,LOW
campus psico uba,2900,LOW
campus sedronar,20,LOW
campus siglo 21 canvas,10,LOW
campus siglo 21 iniciar sesión,10,LOW
campus siglo 21 virtual,20,LOW
campus sociales uba ar,20,LOW
campus u catolica,0,UNSPECIFIED
campus u san jose,0,UNSPECIFIED
campus uader,10,LOW
campus uba exactas,170,LOW
campus uca alumnos,110,LOW
campus uca edu ar,70,LOW
campus uca virtual,8100,LOW
campus ucalp virtual,10,LOW
campus ucc virtual,10,UNSPECIFIED
campus uces,1000,LOW
campus uces virtual,880,LOW
campus uner virtual,10,LOW
campus universidad autonoma del peru,0,UNSPECIFIED
campus universidad central,10,UNSPECIFIED
campus universidad de navarra,10,UNSPECIFIED
campus universidad san jose,0,UNSPECIFIED
campus unl virtual,10,UNSPECIFIED
campus unla virtual,70,LOW
campus unne medicina,10,LOW
campus unr medicina,10,LOW
campus untref virtual,30,LOW
campus utn frm,10,LOW
campus utn santa fe,20,LOW
campus v,10,LOW
campus vi,10,LOW
campus virtual 191,0,UNSPECIFIED
campus virtual 2,10,LOW
campus virtual 2022,10,UNSPECIFIED
campus virtual 21,10,LOW
campus virtual 3,10,LOW
campus virtual 4,10,LOW
campus virtual 5,10,LOW
campus virtual 6,10,LOW
campus virtual 77,20,LOW
campus virtual aaarba,50,LOW
campus virtual abc 2022,10,UNSPECIFIED
campus virtual academia,10,LOW
campus virtual acceder,10,LOW
campus virtual agronomia,40,LOW
campus virtual apn,10,UNSPECIFIED
campus virtual asep,10,LOW
campus virtual atlantida,10,LOW
campus virtual austral,1000,LOW
campus virtual austral edu ar,30,LOW
campus virtual auxiliar de biblioteca,0,UNSPECIFIED
campus virtual axon,20,LOW
campus virtual axon training,20,LOW
campus virtual bac,0,UNSPECIFIED
campus virtual badra,10,UNSPECIFIED
campus virtual banco provincia,20,LOW
campus virtual barcelo,1300,LOW
campus virtual belgrano,10,LOW
campus virtual bioquimica,10,LOW
campus virtual bonaparte,30,LOW
campus virtual cac,40,LOW
campus virtual cam,10,LOW
campus virtual cambridge house,10,LOW
campus virtual canvas,10,LOW
campus virtual capacyt,10,LOW
campus virtual catolica,10,LOW
campus virtual ccoo,0,UNSPECIFIED
campus virtual cean,0,UNSPECIFIED
campus virtual cedsa,10,LOW
campus virtual cedsa edu ar,10,UNSPECIFIED
campus virtual cej,10,UNSPECIFIED
campus virtual cejs,10,LOW
campus virtual cencosud,10,UNSPECIFIED
campus virtual censo,10,UNSPECIFIED
campus virtual censo 2022,10,UNSPECIFIED
campus virtual censo 2022 capacitacion,10,UNSPECIFIED
campus virtual censo gob ar,10,UNSPECIFIED
campus virtual centro nuñez,10,LOW
campus virtual ceo,10,LOW
campus virtual cesar vallejo,0,UNSPECIFIED
campus virtual ceu,10,LOW
campus virtual ceu san pablo,0,UNSPECIFIED
campus virtual champagnat,10,UNSPECIFIED
campus virtual ciencias agrarias,10,LOW
campus virtual ciencias de la salud,30,LOW
campus virtual ciencias economicas,10,LOW
campus virtual ciencias medicas,110,LOW
campus virtual ciencias sociales,40,LOW
campus virtual cnai,10,UNSPECIFIED
campus virtual cnba,720,LOW
campus virtual cnu,10,LOW
campus virtual coas,10,LOW
campus virtual colegio belgrano,10,LOW
campus virtual colegio illia,0,UNSPECIFIED
campus virtual colegio salesiano general belgrano,10,UNSPECIFIED
campus virtual colegio san marcelo,0,UNSPECIFIED
campus virtual colegio san patricio,10,LOW
campus virtual com,10,LOW
campus virtual comercio internacional,0,UNSPECIFIED
campus virtual conabip,10,LOW
campus virtual consudec,20,LOW
campus virtual corazon de maria,10,UNSPECIFIED
campus virtual correos,0,UNSPECIFIED
campus virtual cpe,10,UNSPECIFIED
campus virtual crandon,10,UNSPECIFIED
campus virtual cudi,10,UNSPECIFIED
campus virtual cui,390,LOW
campus virtual cui edu ar,10,LOW
campus virtual cursos,10,MEDIUM
campus virtual cursos eves,10,UNSPECIFIED
campus virtual de correos,0,UNSPECIFIED
campus virtual de humanidades,10,LOW
campus virtual de la ops,10,UNSPECIFIED
campus virtual de la salud publica,10,LOW
campus virtual de medicina,10,UNSPECIFIED
campus virtual de salud publica ops,10,LOW
campus virtual de salud pública cvsp ops,10,MEDIUM
campus virtual decroly,10,LOW
campus virtual del indec,10,UNSPECIFIED
campus virtual del indec censo 2022,10,UNSPECIFIED
campus virtual del ministerio de educación,10,UNSPECIFIED
campus virtual derecho,320,LOW
campus virtual derecho unr,10,UNSPECIFIED
campus virtual docencia e investigacion,90,LOW
campus virtual economia,10,LOW
campus virtual economicas,30,LOW
campus virtual ecyt,50,LOW
campus virtual eeyn,70,LOW
campus virtual emprender,0,UNSPECIFIED
campus virtual eneba,10,LOW
campus virtual enfermeria,10,LOW
campus virtual enfermeria unr,10,UNSPECIFIED
campus virtual enjpp,0,UNSPECIFIED
campus virtual entrar,10,LOW
campus virtual entrar al sitio,10,LOW
campus virtual esba,90,LOW
campus virtual espunm,10,LOW
campus virtual estrada,10,LOW
campus virtual estudiante,10,UNSPECIFIED
campus virtual exactas,1900,LOW
campus virtual exactas uba,480,LOW
campus virtual exactas y naturales,10,LOW
campus virtual extension,10,LOW
campus virtual facultad de ciencias economicas,10,UNSPECIFIED
campus virtual facultad de ciencias exactas y naturales,10,LOW
campus virtual facultad de medicina unne,10,LOW
campus virtual fadu,2900,LOW
campus virtual fadu uba,170,LOW
campus virtual fahce,90,LOW
campus virtual fca,10,LOW
campus virtual fcg,10,UNSPECIFIED
campus virtual ffyl,50,LOW
campus virtual ficde,10,LOW
campus virtual fide,0,UNSPECIFIED
campus virtual fie,70,LOW
campus virtual filo,1000,LOW
campus virtual filosofia y letras uba,70,LOW
campus virtual fiuner,10,UNSPECIFIED
campus virtual formacion universitaria,10,UNSPECIFIED
campus virtual formarte,10,UNSPECIFIED
campus virtual frba,110,LOW
campus virtual fsfb,0,UNSPECIFIED
campus virtual fsoc,880,LOW
campus virtual fsoc uba,70,LOW
campus virtual fude,10,MEDIUM
campus virtual garrahan,1600,LOW
campus virtual global utn,10,LOW
campus virtual gob,10,LOW
campus virtual gobierno de la ciudad,170,LOW
campus virtual hiba,40,LOW
campus virtual hispanoamericano,10,UNSPECIFIED
campus virtual hoelters,10,LOW
campus virtual hospital bonaparte,20,LOW
campus virtual hospital garrahan,390,LOW
campus virtual hospital gutierrez,10,LOW
campus virtual hospital italiano,480,LOW
campus virtual humanas,10,LOW
campus virtual humanas unlpam,10,LOW
